timestamp_ms,raw_value,leads_off,bpm
1771381723158,348,0,
1771381723158,350,0,
1771381723158,350,0,
1771381723158,351,0,
1771381723158,352,0,
1771381723158,354,0,
1771381723158,353,0,
1771381723158,3,0,
1771381723158,293,0,
1771381723158,298,0,
1771381723158,303,0,
1771381723158,309,0,
1771381723158,315,0,
1771381723158,319,0,
1771381723159,327,0,
1771381723159,334,0,
1771381723159,337,0,
1771381723159,340,0,
1771381723159,344,0,
1771381723159,345,0,
1771381723159,345,0,
1771381723159,348,0,
1771381723159,346,0,
1771381723159,347,0,
1771381723159,349,0,
1771381723159,348,0,
1771381723159,348,0,
1771381723159,350,0,
1771381723159,350,0,
1771381723159,351,0,
1771381723159,352,0,
1771381723159,354,0,
1771381723159,353,0,
1771381723159,293,0,
1771381723159,298,0,
1771381723159,303,0,
1771381723159,309,0,
1771381723159,315,0,
1771381723159,319,0,
1771381723159,327,0,
1771381723159,334,0,
1771381723159,337,0,
1771381723159,340,0,
1771381723159,344,0,
1771381723159,345,0,
1771381723159,345,0,
1771381723159,348,0,
1771381723159,346,0,
1771381723159,347,0,
1771381723159,349,0,
1771381723159,348,0,
1771381723159,348,0,
1771381723159,350,0,
1771381723159,350,0,
1771381723159,351,0,
1771381723159,352,0,
1771381723159,354,0,
1771381723159,353,0,
1771381724726,351,0,
1771381724730,351,0,
1771381724738,352,0,
1771381724743,351,0,
1771381724747,353,0,
1771381724751,353,0,
1771381724759,353,0,
1771381724763,353,0,
1771381724767,353,0,
1771381724775,353,0,
1771381724779,351,0,
1771381724783,352,0,
1771381724788,351,0,
1771381724796,351,0,
1771381724800,352,0,
1771381724804,350,0,
1771381724808,349,0,
1771381724816,350,0,
1771381724820,347,0,
1771381724824,347,0,
1771381724829,347,0,
1771381724837,346,0,
1771381724841,346,0,
1771381724845,344,0,
1771381724853,341,0,
1771381724857,333,0,
1771381724861,322,0,
1771381724865,319,0,
1771381724874,322,0,
1771381724878,326,0,
1771381724882,330,0,
1771381724886,331,0,
1771381724894,332,0,
1771381724898,336,0,
1771381724902,338,0,
1771381724910,343,0,
1771381724915,345,0,
1771381724919,346,0,
1771381724923,345,0,
