timestamp_ms,raw_value,leads_off,bpm
1771381808175,283,0,
1771381808175,284,0,
1771381808175,286,0,
1771381808175,288,0,
1771381808175,293,0,
1771381808175,301,0,
1771381808175,306,0,
1771381808175,313,0,
1771381808175,324,0,
1771381808175,330,0,
1771381808175,335,0,
1771381808175,342,0,
1771381808175,348,0,
1771381808175,350,0,
1771381808175,1,0,
1771381808175,317,0,
1771381808175,312,0,
1771381808175,307,0,
1771381808175,306,0,
1771381808175,301,0,
1771381808175,296,0,
1771381808175,294,0,
1771381808175,290,0,
1771381808175,288,0,
1771381808175,288,0,
1771381808175,285,0,
1771381808175,283,0,
1771381808175,284,0,
1771381808175,286,0,
1771381808175,288,0,
1771381808175,293,0,
1771381808175,301,0,
1771381808175,306,0,
1771381808175,313,0,
1771381808175,324,0,
1771381808175,330,0,
1771381808175,335,0,
1771381808175,342,0,
1771381808175,348,0,
1771381808175,350,0,
1771381808175,1,0,
1771381808176,317,0,
1771381808176,312,0,
1771381808176,307,0,
1771381808176,306,0,
1771381808176,301,0,
1771381808176,296,0,
1771381808176,294,0,
1771381808176,290,0,
1771381808176,288,0,
1771381808176,288,0,
1771381808176,285,0,
1771381808176,283,0,
1771381808176,284,0,
1771381808176,286,0,
1771381808176,288,0,
1771381808176,293,0,
1771381808176,301,0,
1771381808176,306,0,
1771381808176,313,0,
1771381808176,324,0,
1771381808176,330,0,
1771381808176,335,0,
1771381808176,342,0,
1771381808176,348,0,
1771381808176,350,0,
1771381809739,353,0,
1771381809743,350,0,
1771381809747,351,0,
1771381809755,350,0,
1771381809759,350,0,
1771381809764,350,0,
1771381809768,350,0,
1771381809776,349,0,
1771381809780,351,0,
1771381809784,350,0,
1771381809788,350,0,
1771381809796,350,0,
1771381809800,352,0,
1771381809804,349,0,
1771381809813,351,0,
1771381809817,350,0,
1771381809821,349,0,
1771381809825,348,0,
1771381809833,347,0,
1771381809837,347,0,
1771381809841,346,0,
1771381809846,347,0,
1771381809854,344,0,
1771381809858,338,0,
1771381809862,331,0,
1771381809870,319,0,
1771381809874,316,0,
